,Folder_Name,Type,Energy (eV)
0,/ihome/gmpourmpakis/del76/Uploads/NP_for_Gamma_2/Au74Pt73,GEO_OPT,-305669.38730496407
1,/ihome/gmpourmpakis/del76/Uploads/NP_for_Gamma_2/Pd73Pt74,GEO_OPT,-494757.1994356485
2,/ihome/gmpourmpakis/del76/Uploads/NP_for_Gamma_2/Au73Pd74,GEO_OPT,-322278.5339229496
3,/ihome/gmpourmpakis/del76/Uploads/NP_for_Gamma_2/Au74Pd73,GEO_OPT,-319720.88152494654
4,/ihome/gmpourmpakis/del76/Uploads/NP_for_Gamma_2/Pd74Pt73,GEO_OPT,-494948.71143179986
5,/ihome/gmpourmpakis/del76/Uploads/NP_for_Gamma_2/Au73Pt74/RESTART_Au73Pt74,GEO_OPT,-308034.82617821643
6,/ihome/gmpourmpakis/del76/NP_For_Gamma/CP2K_Simulations_for_Gammas/Au147,GEO_OPT,-133003.4702120285
7,/ihome/gmpourmpakis/del76/NP_For_Gamma/CP2K_Simulations_for_Gammas/Cu147,GEO_OPT,-192479.07063030728
8,/ihome/gmpourmpakis/del76/NP_For_Gamma/CP2K_Simulations_for_Gammas/Pd74Ag73,GEO_OPT,-329782.4269070339
9,/ihome/gmpourmpakis/del76/NP_For_Gamma/CP2K_Simulations_for_Gammas/Ag73Au74,GEO_OPT,-140512.34097248345
10,/ihome/gmpourmpakis/del76/NP_For_Gamma/CP2K_Simulations_for_Gammas/Pd147,GEO_OPT,-508984.8285425018
11,/ihome/gmpourmpakis/del76/NP_For_Gamma/CP2K_Simulations_for_Gammas/Pt73Ag74,GEO_OPT,-313279.15024992154
12,/ihome/gmpourmpakis/del76/NP_For_Gamma/CP2K_Simulations_for_Gammas/Ag74Au73,GEO_OPT,-140615.43135418213
13,/ihome/gmpourmpakis/del76/NP_For_Gamma/CP2K_Simulations_for_Gammas/Ag74Cu73,GEO_OPT,-170146.91918972306
14,/ihome/gmpourmpakis/del76/NP_For_Gamma/CP2K_Simulations_for_Gammas/Pt147,GEO_OPT,-480717.5607106444
15,/ihome/gmpourmpakis/del76/NP_For_Gamma/CP2K_Simulations_for_Gammas/Pt73Cu74,GEO_OPT,-335640.7146443329
16,/ihome/gmpourmpakis/del76/NP_For_Gamma/CP2K_Simulations_for_Gammas/Ag73Cu74,GEO_OPT,-170448.38274542804
17,/ihome/gmpourmpakis/del76/NP_For_Gamma/CP2K_Simulations_for_Gammas/Pd73Cu74,GEO_OPT,-349679.85989110725
18,/ihome/gmpourmpakis/del76/NP_For_Gamma/CP2K_Simulations_for_Gammas/Ag147,GEO_OPT,-148107.57614284853
19,/ihome/gmpourmpakis/del76/NP_For_Gamma/CP2K_Simulations_for_Gammas/Au73Cu74,GEO_OPT,-162960.31114400193
20,/ihome/gmpourmpakis/del76/NP_For_Gamma/CP2K_Simulations_for_Gammas/Pt74Cu73,GEO_OPT,-337601.32424044807
21,/ihome/gmpourmpakis/del76/NP_For_Gamma/CP2K_Simulations_for_Gammas/Pd73Ag74,GEO_OPT,-327327.2235075183
22,/ihome/gmpourmpakis/del76/NP_For_Gamma/CP2K_Simulations_for_Gammas/Pt74Ag73,GEO_OPT,-315541.72840377246
23,/ihome/gmpourmpakis/del76/NP_For_Gamma/CP2K_Simulations_for_Gammas/Pd74Cu73,GEO_OPT,-351833.3231070675
24,/ihome/gmpourmpakis/del76/NP_For_Gamma/CP2K_Simulations_for_Gammas/Au74Cu73,GEO_OPT,-162555.52544364994
